name,BRI,gri,g'r'i'
SN2006gr,True,False,False
SDSS-II SN 8053,False,False,True
SDSS-II SN 19521,False,False,True
MASTER OT J183934.91+414404.2,True,False,False
SDSS-II SN 7390,False,False,True
SDSS-II SN 19097,False,False,True
SN2009js,True,False,False
PTF12gzk,True,True,False
SDSS-II SN 3271,False,False,True
SN2013am,True,True,False
SDSS-II SN 14262,False,False,True
SDSS-II SN 22278,False,False,True
SN2001gc,True,False,False
SDSS-II SN 16655,False,False,True
SDSS-II SN 4808,False,False,True
SNLS-04D1de,False,True,False
SDSS-II SN 13968,False,False,True
SDSS-II SN 18185,False,False,True
SN2013fs,True,True,False
SDSS-II SN 17743,False,False,True
SN2006kk,False,False,True
SDSS-II SN 18079,False,False,True
SN2007if,False,True,False
SN2005fg,False,False,True
SDSS-II SN 12922,False,False,True
SDSS-II SN 13862,False,False,True
SNLS-05D3lr,False,True,False
SDSS-II SN 14695,False,False,True
SDSS-II SN 4434,False,False,True
SDSS-II SN 11092,False,False,True
SDSS-II SN 1176,False,False,True
SN2017ckd,False,True,False
SDSS-II SN 3738,False,False,True
SN2007qm,False,False,True
SNLS-05D1eo,False,True,False
SDSS-II SN 13750,False,False,True
SDSS-II SN 13360,False,False,True
SDSS-II SN 18997,False,False,True
SDSS-II SN 2970,False,False,True
SDSS-II SN 20508,False,False,True
SDSS-II SN 16590,False,False,True
SDSS-II SN 4316,False,False,True
SDSS-II SN 20520,False,False,True
SDSS-II SN 20879,False,False,True
SNLS-04D4dw,False,True,False
SDSS-II SN 4054,False,False,True
SDSS-II SN 16128,False,False,True
SDSS-II SN 15498,False,False,True
SDSS-II SN 15549,False,False,True
SN2008ei,True,False,False
SN2008Z,True,False,False
SNLS-04D1sa,False,True,False
SDSS-II SN 14387,False,False,True
SDSS-II SN 6831,False,False,True
SDSS-II SN 16582,False,False,True
SDSS-II SN 7195,False,False,True
SDSS-II SN 17535,False,False,True
SDSS-II SN 13781,False,False,True
SDSS-II SN 15553,False,False,True
LSQ12btn,False,True,False
SDSS-II SN 19144,False,False,True
SN2016axw,False,True,False
SDSS-II SN 17763,False,False,True
Gaia15agm,False,True,False
SDSS-II SN 11850,False,False,True
SDSS-II SN 1562,False,False,True
SN2007od,True,False,False
SN2010md,False,True,False
SNLS-04D1ak,False,True,False
SDSS-II SN 20642,False,False,True
ASASSN-15fs,False,True,False
SDSS-II SN 1858,False,False,True
SNLS-05D4cs,False,True,False
SN2007ln,False,False,True
SDSS-II SN 21534,False,False,True
SDSS-II SN 20771,False,False,True
SDSS-II SN 14827,False,False,True
SDSS-II SN 14408,False,False,True
SDSS-II SN 21381,False,False,True
SN2006fy,False,False,True
SN2007mc,False,False,True
SDSS-II SN 19691,False,False,True
Gaia16auk,True,False,False
SDSS-II SN 16572,False,False,True
SDSS-II SN 13677,False,False,True
SDSS-II SN 13244,False,False,True
SDSS-II SN 2639,False,False,True
SDSS-II SN 20324,False,False,True
SDSS-II SN 21003,False,False,True
SDSS-II SN 951,False,False,True
SDSS-II SN 19766,False,False,True
SN2017lc,False,True,False
SDSS-II SN 10161,False,False,True
SDSS-II SN 20497,False,False,True
SN2006pc,False,False,True
SDSS-II SN 19224,False,False,True
SDSS-II SN 18251,False,False,True
SDSS-II SN 4426,False,False,True
SNLS-06D4cq,False,True,False
SDSS-II SN 3323,False,False,True
SDSS-II SN 21724,False,False,True
SNLS-04D2bt,False,True,False
SDSS-II SN 8945,False,False,True
SNLS-04D4ju,False,True,False
SDSS-II SN 15783,False,False,True
SDSS-II SN 16718,False,False,True
SDSS-II SN 14638,False,False,True
SN2006jq,False,False,True
SDSS-II SN 20327,False,False,True
DES14X3taz,False,True,False
SDSS-II SN 6654,False,False,True
SNLS-05D4hn,False,True,False
SDSS-II SN 18141,False,False,True
SN2006pg,False,False,True
SDSS-II SN 16200,False,False,True
SN2006ff,False,False,True
SN2006hd,False,False,True
SN2006fg,False,False,True
SNLS-05D3mq,False,True,False
ASASSN-15hy,False,True,False
SDSS-II SN 20921,False,False,True
SDSS-II SN 4043,False,False,True
SNLS-06D2ag,False,True,False
SDSS-II SN 14722,False,False,True
Gaia15adl,False,True,False
SDSS-II SN 8280,False,False,True
SNLS-04D2cc,False,True,False
SDSS-II SN 20298,False,False,True
PS15ajh,False,True,False
SDSS-II SN 18187,False,False,True
SDSS-II SN 15539,False,False,True
SDSS-II SN 4104,False,False,True
SDSS-II SN 13891,False,False,True
SDSS-II SN 7226,False,False,True
SN2006et,False,True,False
SDSS-II SN 15696,False,False,True
SDSS-II SN 17692,False,False,True
SDSS-II SN 18267,False,False,True
SDSS-II SN 19689,False,False,True
SDSS-II SN 14268,False,False,True
SDSS-II SN 19053,False,False,True
SDSS-II SN 13423,False,False,True
SDSS-II SN 19501,False,False,True
SDSS-II SN 14227,False,False,True
SN2007jt,False,False,True
SDSS-II SN 15816,False,False,True
SDSS-II SN 21558,False,False,True
SDSS-II SN 13329,False,False,True
SN1997Y,True,False,False
SDSS-II SN 20319,False,False,True
SDSS-II SN 7923,False,False,True
SN2009ip,True,False,False
SDSS-II SN 14833,False,False,True
SDSS-II SN 16114,False,False,True
